⌚	orologio	orologio|orologio da polso|tempo
⌛	clessidra	clessidra|sabbia|tempo
⏩	pulsante di avanzamento rapido	avanzamento rapido|destra|doppia freccia a destra|fast forward|freccia|pulsante di avanzamento rapido|triangolo
⏪	pulsante di riavvolgimento rapido	doppia freccia a sinistra|freccia|pulsante di riavvolgimento rapido|rewind|riavvolgimento rapido|sinistra
⏫	pulsante doppia freccia in alto	alto|doppia freccia in alto|freccia|pulsante doppia freccia in alto
⏬	doppia freccia in basso	basso|doppia freccia in basso|freccia
⏰	sveglia	attesa|mattino|ora|ore|suono|sveglia|svegliarsi|tempo
⏳	clessidra che scorre	clessidra|clessidra che scorre|sabbia|tempo
◽	quadrato bianco medio-piccolo	geometria|quadrato|quadrato bianco medio-piccolo
◾	quadrato nero medio-piccolo	geometria|quadrato|quadrato nero medio-piccolo
☔	ombrello con gocce di pioggia	diluvio|gocce d’acqua|meteo|natura|ombrello|ombrello bagnato|ombrello con gocce di pioggia|pioggia
☕	bevanda calda	bevanda|bevanda calda|caffè|fumante|tè caldo|the|thè
♈	Segno zodiacale dell’Ariete	Ariete|Segno zodiacale dell’Ariete|zodiaco
♉	Segno zodiacale del Toro	oroscopo|segno zodiacale|Segno zodiacale del Toro|Toro|zodiaco
♊	Segno zodiacale dei Gemelli	Gemelli|oroscopo|segno zodiacale|Segno zodiacale dei Gemelli|zodiaco
♋	Segno zodiacale del Cancro	Cancro|oroscopo|segno zodiacale|Segno zodiacale del Cancro|zodiaco
♌	Segno zodiacale del Leone	Leone|oroscopo|segno zodiacale|Segno zodiacale del Leone|zodiaco
♍	Segno zodiacale della Vergine	oroscopo|segno zodiacale|Segno zodiacale della Vergine|Vergine|zodiaco
♎	Segno zodiacale della Bilancia	Bilancia|oroscopo|segno zodiacale|Segno zodiacale della Bilancia|zodiaco
♏	Segno zodiacale dello Scorpione	oroscopo|Scorpione|segno zodiacale|Segno zodiacale dello Scorpione|zodiaco
♐	Segno zodiacale del Saggitario	oroscopo|Sagittario|segno zodiacale|Segno zodiacale del Saggitario|zodiaco
♑	Segno zodiacale del Capricorno	Capricorno|oroscopo|segno zodiacale|Segno zodiacale del Capricorno|zodiaco
♒	Segno zodiacale dell’Acquario	Acquario|segno zodiacale|Segno zodiacale dell’Acquario|zodiaco
♓	Segno zodiacale dei Pesci	oroscopo|Pesci|segno zodiacale|Segno zodiacale dei Pesci|zodiaco
