⌚	наручные часы	время|запястье|наручные|рука|часы
⌛	песочные часы	время|песок|песочные часы|часы
⏩	перемотка вперед	вперед|вправо|два|кнопка|перемотать|перемотка|треугольника
⏪	перемотка назад	влево|два треугольника|кнопка|назад|перемотать|перемотка назад|стрелка
⏫	два треугольника острием вверх	вверх|два треугольника|два треугольника острием вверх|кнопка|стрелка|стрелки вверх
⏬	два треугольника острием вниз	вниз|два треугольника|два треугольника острием вниз|кнопка|стрелка|стрелки вниз
⏰	будильник	будильник|время|заводить|звенит|напоминание|подъем|сигнал|часы
⏳	время пошло	время|время пошло|песок|песочные|часы
◽	небольшой белый квадрат	белый|геометрия|квадрат|небольшой белый квадрат|небольшой квадрат|фигура
◾	небольшой черный квадрат	геометрия|квадрат|небольшой|фигура|черный
☔	зонт под дождем	зонт|зонт под дождем|зонтик|зонтик под дождем|капли|капля|ливень|погода|под дождем
☕	горячий напиток	горячий|кипяток|кофе|напиток|пар|чаепитие|чай
♈	знак зодиака Овен	баран|гороскоп|знак|зодиак|овен|овца
♉	знак зодиака Телец	бык|гороскоп|знак|зодиак|теленок|телец
♊	знак зодиака Близнецы	близнецы|гороскоп|знак|зодиак
♋	знак зодиака Рак	гороскоп|знак|зодиак|рак
♌	знак зодиака Лев	гороскоп|знак|зодиак|лев
♍	знак зодиака Дева	гороскоп|дева|знак|зодиак
♎	знак зодиака Весы	весы|гороскоп|знак|зодиак
♏	знак зодиака Скорпион	гороскоп|знак|зодиак|скорпион
♐	знак зодиака Стрелец	гороскоп|знак|зодиак|стрелец
♑	знак зодиака Козерог	гороскоп|знак|зодиак|козерог
♒	знак зодиака Водолей	водолей|гороскоп|знак|зодиак
♓	знак зодиака Рыбы	гороскоп|знак|зодиак|рыба|рыбы
♿	значок «для инвалидов»	возможности|доступ|значок|инвалид|инвалидная|коляска
⚓	якорь	корабль|якорь
⚡	высокое напряжение	буря|высоковольтное|высокое напряжение|гром|молниеносный|молния|напряжение|опасность|электричество
⚪	белый круг	белый|геометрия|круг|фигура|шар
⚫	черный круг	геометрия|круг|фигура|черный|шар
⚽	футбол	игра|мяч|спорт|футбол|футбольный
⚾	бейсбол	бейсбол|бейсбольный|игра|мяч|спорт
⛄	снеговик	снег|снеговик|снеговичок|снежная баба|снежная скульптура|фигура|человек|человечек
⛅	солнце за облаками	непогода|облака|облако|облачно|погода|солнце|солнце за облаками
⛎	знак зодиака Змееносец	гороскоп|змееносец|знак|зодиак
⛔	въезд запрещен	вход|въезд|запрещен|запрещено|кирпич|красный|круг|нет|стоп
⛪	церковь	здание|монастырь|религия|собор|храм|христианство|церковь
⛲	фонтан	брызги|вода|источник|родник|фонтан
⛳	гольф	гольф|игра|лунка|поле|спорт|флаг|флажок
⛵	парусник	кораблик|лодка|отдых|парус|парусник|яхта
⛺	палатка	кемпинг|лагерь|палатка|поход|тент
⛽	заправка	автозаправка|автозаправочная станция|АЗС|бензин|дизель|заправка|станция|топливо
✅	белая галочка	белая|галочка|готово|знак|проверено|проверка|сделано
✊	поднятый кулак	кулак|пальцы|поднятый кулак|рука|удар
✋	поднятая ладонь	вверх|ладонь|пальцы|поднятая|пять|рука|стоп
✨	блестки	блестка|блестки|звезда|звезды|искры|мерцание|свет
❌	крестик	закрытие|значок|крестик|отмена|умножение
❎	кнопка «крестик»	закрытие|квадрат|кнопка|кнопка "крестик"|кнопка «крестик»|крестик|умножение
❓	красный вопросительный знак	вопрос|вопроса|вопросительный|знак|красный|пунктуация
❔	белый вопросительный знак	?|белый|вопрос|вопросительный|знак|пунктуация
❕	белый восклицательный знак	белый|белый восклицательный знак|восклицание|восклицательный знак|восклицать|знак|пунктуация
❗	красный восклицательный знак	восклицание|восклицательный знак|знак|красный|пунктуация
➕	знак сложения	добавить|знак|плюс|прибавить|сложение|сложения
➖	знак вычитания	вычесть|вычитание|вычитания|знак|минус|отнять
➗	знак деления	деление|деления|делить|знак|разделить
➰	петля	значок|петелька|петля
➿	двойная петля	две|двойная|петелька|петельки|петли|петля
⬛	большой черный квадрат	большой|геометрия|квадрат|фигура|черный
⬜	большой белый квадрат	белый|большой|геометрия|квадрат|фигура
⭐	желтая звезда	астрономия|желтая|звезда|звезды
⭕	красное кольцо	большое кольцо|большой круг|кольцо|красное|красный круг|круг|синий круг
🀄	маджонг	игра|игральные|Китай|кости|кубики|маджонг
🃏	джокер	джокер|игра|карты
🆎	IV группа крови	4 группа крови|IV группа крови|буквы АВ|группа крови|группа крови AB|кровь|четвертая группа крови
🆑	кнопка «очистить»	CL|значок «понятно»|кнопка|кнопка "очистить"|кнопка "стереть"|кнопка «очистить»|очистить|стереть|ясно
🆒	значок «круто»	здорово|значок|значок «круто»|кнопка|круто
🆓	значок «бесплатно»	бесплатно|значок|кнопка
🆔	значок «идентификация»	значок|значок «идентификация»|идентификатор|идентификация|кнопка
🆕	значок «новинка»	значок|значок "новинка"|значок «новинка»|новинка|новое|новый
🆖	значок «не годится»	значок|значок "не годится"|не годится|нехорошо|плохо
🆗	значок «ОК»	значок|значок «ОК»|о’кей|ОК|окей|хорошо
🆘	значок SOS	sos|SOS|значок SOS|помогите|помощь|сос|спасите
🆙	значок «обновление»	вверх|значок|значок "обновление"|значок «обновление»|обновление
🆚	значок «против»	значок|кнопка|против|сравнение
🈁	значок «здесь»	здесь|значок|кнопка|япония
🈚	бесплатно	бесплатно|значок|иероглиф|кнопка|нет в наличии|отсутствие|япония
🈯	забронировано	забронировано|занято|значок|кнопка|япония
🈲	запрет	воспрещен|вход запрещен|запрет|запрещено|значок|иероглиф|кнопка|нельзя|япония
🈳	есть места	доступно|доступность|есть места|значок|иероглиф|китай|кнопка|пусто|пустота|свободно
🈴	проходной балл	значок|иероглиф|китай|кнопка|пропускной балл|проходной балл|согласие|япония
🈵	нет мест	занято|заполнено|значок|иероглиф|кнопка|мест|нет|Япония
🈶	платно	значок|иероглиф|кнопка|наличие|платно|япония
🈸	заявка	запрос|заявка|значок|иероглиф|китай|кнопка|подача|япония
🈹	скидка	деление|значок|значок "скидка"|иероглиф|кнопка|кнопка "скидка"|скидка|япония
🈺	открыто	значок|иероглиф|китай|кнопка|открыто|работа|работает|япония
🉐	удачная сделка	выгода|значок|кнопка|сделка|япония
🉑	допустимость	допустимо|допустимость|значок|иероглиф|китай|кнопка|можно|приемлемо|принятие
🌀	циклон	завихрение|тайфун|циклон|юла
🌁	туман	дымка|облака|туман|туманно
🌂	закрытый зонт	дождь|закрытый зонт|зонт|зонтик|осадки
🌃	звездная ночь	город|звездная|звезды|месяц|ночной|ночь
🌄	восход солнца над горами	восход|горы|закат|заря|пейзаж|рассвет|солнце|утро
🌅	восход	вечер|восход|заря|лучи|пейзаж|рассвет|солнце|утро
🌆	закат в городе	вечер|вечерний|высотки|город|закат|заход|многоэтажки|небоскреб|солнце
🌇	закат	вечер|высотные|город|дома|закат|заход|небоскреб|романтика|солнце
🌈	радуга	дождь|осадки|погода|природа|радуга|цвета
🌉	мост ночью	мост|ночь|ночью
🌊	волна	вода|волна|море|морская пена|океан|серфинг
🌋	вулкан	вулкан|извержение вулкана|кратер|лава
🌌	Млечный Путь	звезды|космос|Млечный Путь|молоко|путь|созвездие
🌍	Европа и Африка на земном шаре	Африка|глобус|Европа|Европа и Африка на земном шаре|Земля|земной шар|шар
🌎	Америка на земном шаре	Америка|глобус|земной|мир|шар
🌏	Азия и Австралия на земном шаре	Австралия|Азия|Азия и Австралия на земном шаре|глобус|Земля|земной шар|шар
🌐	меридианы	глобус|Земля|земной|меридиан|меридианы|мир|шар
🌑	новолуние	луна|месяц|новая|новолуние|ночь|темная ночь|темно
🌒	молодая луна	луна|месяц|молодая|молодой
🌓	луна в первой четверти	луна|луна в первой четверти|месяц|небо|четверть
🌔	прибывающая луна	луна|месяц|небо|прибывающая
🌕	полнолуние	луна|месяц|небо|полная|полнолуние|полный
🌖	убывающая луна	луна|месяц|небо|планета|убывающая
🌗	луна в последней четверти	луна|луна в последней четверти|месяц|небо|четверть
🌘	старая луна	затмение|луна|месяц|небо|старая|убывающая
🌙	полумесяц	луна|месяц|полумесяц
🌚	новая луна с лицом	лицо|луна|луна с лицом|молодая луна с лицом|новая луна|новая луна с лицом|новолуние|темная|черная луна
🌛	луна в первой четверти с лицом	лицо|луна|луна в первой четверти с лицом|месяц|небо|половинка луны|четвертинка луны|четверть|четверть луны
🌜	луна в последней четверти с лицом	лицо|луна|луна в последней четверти с лицом|месяц|небо|полу месяц|полумесяц|четверть
🌝	полная луна с лицом	круглая|круглая луна|лицо|месяц|небо|полная луна|полная луна с лицом
🌞	солнце с лицом	лицо|небо|солнце|солнце с лицом
🌟	сияющая звезда	звезда|свет|сияние|сияющая звезда
🌠	падающая звезда	желание|загадать желание|звезда|звездопад|небо|падающая
🌭	хот-дог	в тесте|горчица|перекус|сосиска|тесто|хот-дог
🌮	тако	кухня|мексика|мексиканская кухня|перекус|тако
🌯	буррито	буррито|бурритос|кухня|мексика|мексиканская кухня|ролл|тортилья
🌰	каштан	каштан|растение
🌱	росток	молодое растение|молодой|новое растение|новый|растение|росток
🌲	елка	вечнозеленое дерево|дерево|елка|ель|лес|новый год
🌳	дерево	дерево|зеленое|листва|растение
🌴	пальма	дерево|пальма|тропики
🌵	кактус	зеленое|кактус|колючки|мексика|растение|текила
🌷	тюльпан	тюльпан|цвести|цветок
🌸	цветок вишни	мальва|сакура|цвести|цветок|цветок вишни
🌹	роза	бутон|валентинка|красная|красота|любовь|растение|роза|цветок|элегантность
🌺	гибискус	гибискус|китайская роза|цветок
🌻	подсолнух	подсолнух|солнце|цветок
🌼	цветок	растение|цветок
🌽	кукурузный початок	кукуруза|кукурузный початок|початок
🌾	колос	зерно|колос|пшеница|рис
🌿	веточка	ветка|веточка|листья|трава
🍀	четырехлистный клевер	клевер|удача|четыре|четырехлистный клевер
🍁	кленовый лист	клен|кленовый лист|красный|лист|осень
